commodity,location,year,reported,irrigated_acres,total_acres,total_production,unit
GARLIC,53057,2007,t,,1,,
GARLIC,53057,2007,f,,1,,
"GARLIC, FRESH MARKET",53057,2007,t,,1,,
"GARLIC, FRESH MARKET",53057,2007,f,,1,,
GRAPES,53057,2007,f,,24,,
GRAPES,53057,2007,t,,24,,
GRASSES,53057,2007,f,,,914083,LB
GRASSES & LEGUMES TOTALS,53057,2007,f,,897,,
"GRASSES & LEGUMES TOTALS, SEED",53057,2007,t,,897,,
"GRASSES & LEGUMES TOTALS, SEED",53057,2007,f,,897,,
"GRASSES, RYEGRASS",53057,2007,f,,,914083,LB
"GRASSES, RYEGRASS, SEED",53057,2007,t,,,914083,LB
GREENS,53057,2007,f,,1,,
"GREENS, KALE",53057,2007,t,,1,,
"GREENS, KALE",53057,2007,f,,1,,
"GREENS, KALE, FRESH MARKET",53057,2007,f,,1,,
"GREENS, KALE, FRESH MARKET",53057,2007,t,,1,,
HAY,53057,2007,t,1187,11421,27302,TONS
"HAY, ALFALFA",53057,2007,t,,254,843,TONS
HAY & HAYLAGE,53057,2007,t,2247,18594,73826,TONS
HAYLAGE,53057,2007,t,1460,10954,94120,TONS
"HAYLAGE, ALFALFA",53057,2007,t,184,847,5901,TONS
"HAYLAGE, (EXCL ALFALFA)",53057,2007,t,1276,10107,88219,TONS
"HAY, SMALL GRAIN",53057,2007,t,,106,75,TONS
"HAY, TAME",53057,2007,f,931,7580,20788,TONS
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",53057,2007,t,931,7580,20788,TONS
"HAY, WILD",53057,2007,t,122,3481,5596,TONS
LETTUCE,53057,2007,t,,5,,
LETTUCE,53057,2007,f,,5,,
"LETTUCE, FRESH MARKET",53057,2007,f,,5,,
"LETTUCE, FRESH MARKET",53057,2007,t,,5,,
"NON-CITRUS, OTHER",53057,2007,f,,6,,
"NON-CITRUS, OTHER, NON-CITRUS",53057,2007,f,,6,,
"NON-CITRUS, OTHER, NON-CITRUS, OTHER",53057,2007,f,,6,,
"NON-CITRUS, OTHER, NON-CITRUS, OTHER, (EXCL BERRIES)",53057,2007,f,,6,,
"NON-CITRUS, OTHER, NON-CITRUS, OTHER, (EXCL BERRIES)",53057,2007,t,,6,,
NON-CITRUS TOTALS,53057,2007,f,,235,,
"NON-CITRUS TOTALS, (EXCL BERRIES)",53057,2007,f,,235,,
"NON-CITRUS TOTALS, (EXCL BERRIES)",53057,2007,t,,235,,
NURSERY TOTALS,53057,2007,f,,618,,
"NURSERY TOTALS, IN THE OPEN",53057,2007,f,,618,,
"NURSERY TOTALS, IN THE OPEN",53057,2007,t,,618,,
OATS,53057,2007,t,,114,4889,BU
ONIONS,53057,2007,f,,10,,
"ONIONS, DRY",53057,2007,t,,9,,
"ONIONS, DRY",53057,2007,f,,9,,
"ONIONS, DRY, FRESH MARKET",53057,2007,t,,9,,
"ONIONS, DRY, FRESH MARKET",53057,2007,f,,9,,
"ONIONS, GREEN",53057,2007,f,,1,,
"ONIONS, GREEN",53057,2007,t,,1,,
"ONIONS, GREEN, FRESH MARKET",53057,2007,t,,1,,
"ONIONS, GREEN, FRESH MARKET",53057,2007,f,,1,,
PEARS,53057,2007,t,,17,,
PEARS,53057,2007,f,,17,,
"PEARS, BARTLETT",53057,2007,f,,1,,
"PEARS, BARTLETT",53057,2007,t,,1,,
"PEARS, (EXCL BARTLETT)",53057,2007,t,,16,,
"PEARS, (EXCL BARTLETT)",53057,2007,f,,16,,
PEAS,53057,2007,f,,5202,,
"PEAS, GREEN",53057,2007,f,,5202,,
"PEAS, GREEN, (EXCL SOUTHERN)",53057,2007,t,,5203,,
"PEAS, GREEN, (EXCL SOUTHERN)",53057,2007,f,,5202,,
"PEAS, GREEN, (EXCL SOUTHERN), FRESH MARKET",53057,2007,t,,132,,
"PEAS, GREEN, (EXCL SOUTHERN), FRESH MARKET",53057,2007,f,,132,,
"PEAS, GREEN, (EXCL SOUTHERN), PROCESSING",53057,2007,f,,5070,,
"PEAS, GREEN, (EXCL SOUTHERN), PROCESSING",53057,2007,t,,5070,,
PLUMS & PRUNES,53057,2007,f,,6,,
PLUMS & PRUNES,53057,2007,t,,6,,
POTATOES,53057,2007,t,,10353,,
POTATOES,53057,2007,f,,10354,,
"POTATOES, FRESH MARKET",53057,2007,t,,9661,,
"POTATOES, FRESH MARKET",53057,2007,f,,9661,,
"POTATOES, PROCESSING",53057,2007,f,,693,,
"POTATOES, PROCESSING",53057,2007,t,,693,,
PUMPKINS,53057,2007,f,,496,,
PUMPKINS,53057,2007,t,,496,,
RASPBERRIES,53057,2007,f,,529,,
RASPBERRIES,53057,2007,t,,529,,
"RASPBERRIES, RED",53057,2007,f,,529,,
"RASPBERRIES, RED",53057,2007,t,,529,,
SHORT TERM WOODY CROPS,53057,2007,t,,26,,
SHORT TERM WOODY CROPS,53057,2007,f,,26,,
SQUASH,53057,2007,t,,40,,
SQUASH,53057,2007,f,,40,,
"SQUASH, FRESH MARKET",53057,2007,t,,40,,
"SQUASH, FRESH MARKET",53057,2007,f,,40,,
"SQUASH, SUMMER",53057,2007,f,,3,,
"SQUASH, SUMMER",53057,2007,t,,3,,
"SQUASH, SUMMER, FRESH MARKET",53057,2007,f,,3,,
"SQUASH, SUMMER, FRESH MARKET",53057,2007,t,,3,,
"SQUASH, WINTER",53057,2007,t,,37,,
"SQUASH, WINTER",53057,2007,f,,37,,
"SQUASH, WINTER, FRESH MARKET",53057,2007,f,,37,,
"SQUASH, WINTER, FRESH MARKET",53057,2007,t,,37,,
STRAWBERRIES,53057,2007,t,,334,,
STRAWBERRIES,53057,2007,f,,334,,
SWEET CORN,53057,2007,t,,389,,
SWEET CORN,53057,2007,f,,389,,
TOMATOES,53057,2007,f,,1,,
"TOMATOES, IN THE OPEN",53057,2007,f,,1,,
"TOMATOES, IN THE OPEN",53057,2007,t,,1,,
"TOMATOES, IN THE OPEN, FRESH MARKET",53057,2007,t,,1,,
"TOMATOES, IN THE OPEN, FRESH MARKET",53057,2007,f,,1,,
TRANSPLANTS,53057,2007,f,,7,,
"TRANSPLANTS, COMMERCIAL",53057,2007,f,,7,,
"TRANSPLANTS, COMMERCIAL, VEGETABLE & STRAWBERRY",53057,2007,f,,7,,
"TRANSPLANTS, COMMERCIAL, VEGETABLE & STRAWBERRY, IN THE OPEN",53057,2007,t,,7,,
"TRANSPLANTS, COMMERCIAL, VEGETABLE & STRAWBERRY, IN THE OPEN",53057,2007,f,,7,,
TREE NUT TOTALS,53057,2007,f,,6,,
TREE NUT TOTALS,53057,2007,t,,6,,
VEGETABLE SEEDS,53057,2007,f,,1929,,
"VEGETABLE SEEDS, IN THE OPEN",53057,2007,f,,1929,,
"VEGETABLE SEEDS, IN THE OPEN",53057,2007,t,,1929,,
"VEGETABLES, OTHER",53057,2007,f,,122,,
"VEGETABLES, OTHER, VEGETABLES",53057,2007,f,,122,,
"VEGETABLES, OTHER, VEGETABLES, OTHER",53057,2007,t,,122,,
"VEGETABLES, OTHER, VEGETABLES, OTHER",53057,2007,f,,122,,
VEGETABLE TOTALS,53057,2007,f,,19456,,
"VEGETABLE TOTALS, IN THE OPEN",53057,2007,t,8380,19456,,
"VEGETABLE TOTALS, IN THE OPEN",53057,2007,f,,19456,,
"VEGETABLE TOTALS, IN THE OPEN, FRESH MARKET",53057,2007,f,,12161,,
"VEGETABLE TOTALS, IN THE OPEN, FRESH MARKET",53057,2007,t,,12161,,
"VEGETABLE TOTALS, IN THE OPEN, PROCESSING",53057,2007,t,,7295,,
"VEGETABLE TOTALS, IN THE OPEN, PROCESSING",53057,2007,f,,7295,,
WHEAT,53057,2007,t,,4686,401904,BU
"WHEAT, SPRING",53057,2007,f,,301,26055,BU
"WHEAT, SPRING, (EXCL DURUM)",53057,2007,t,,301,26055,BU
"WHEAT, WINTER",53057,2007,t,,4385,375849,BU
CUT CHRISTMAS TREES,53059,2007,t,,14,,
CUT CHRISTMAS TREES,53059,2007,f,,14,,
HAY,53059,2007,t,30,693,1006,TONS
HAY,53059,2007,f,30,260,354,
HAY & HAYLAGE,53059,2007,t,30,764,1098,TONS
HAYLAGE,53059,2007,t,,71,187,TONS
"HAYLAGE, (EXCL ALFALFA)",53059,2007,t,,71,187,TONS
"HAY, SMALL GRAIN",53059,2007,t,30,30,354,TONS
"HAY, TAME",53059,2007,f,,227,347,TONS
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",53059,2007,t,,227,347,TONS
"HAY, WILD",53059,2007,f,,230,,
"HAY, WILD",53059,2007,t,,230,,
NON-CITRUS TOTALS,53059,2007,f,,241,,
"NON-CITRUS TOTALS, (EXCL BERRIES)",53059,2007,f,,241,,
"NON-CITRUS TOTALS, (EXCL BERRIES)",53059,2007,t,,241,,
NURSERY TOTALS,53059,2007,f,,28,,
"NURSERY TOTALS, IN THE OPEN",53059,2007,t,,28,,
"NURSERY TOTALS, IN THE OPEN",53059,2007,f,,28,,
PEARS,53059,2007,f,,125,,
PEARS,53059,2007,t,,125,,
BARLEY,53061,2007,t,,566,39689,BU
BEANS,53061,2007,f,,13,,
"BEANS, SNAP",53061,2007,t,,13,,
"BEANS, SNAP",53061,2007,f,,13,,
BEDDING PLANT TOTALS,53061,2007,f,,72,,
"BEDDING PLANT TOTALS, IN THE OPEN",53061,2007,t,,72,,
"BEDDING PLANT TOTALS, IN THE OPEN",53061,2007,f,,72,,
BEETS,53061,2007,f,,4,,
BEETS,53061,2007,t,,4,,
"BEETS, FRESH MARKET",53061,2007,t,,4,,
"BEETS, FRESH MARKET",53061,2007,f,,4,,
BROCCOLI,53061,2007,t,,7,,
BROCCOLI,53061,2007,f,,7,,
CANOLA,53061,2007,t,,105,237939,LB
CARROTS,53061,2007,t,,9,,
CARROTS,53061,2007,f,,9,,
CHERRIES,53061,2007,f,,5,,
"CHERRIES, SWEET",53061,2007,t,,5,,
"CHERRIES, SWEET",53061,2007,f,,5,,
CORN,53061,2007,f,916,5582,133518,TONS
"CORN, SILAGE",53061,2007,t,916,5582,133518,TONS
CUCUMBERS,53061,2007,t,,84,,
CUCUMBERS,53061,2007,f,,84,,
CUT CHRISTMAS TREES,53061,2007,t,,298,,
CUT CHRISTMAS TREES,53061,2007,f,,298,,
CUT FLOWERS & CUT CULTIVATED GREENS,53061,2007,f,,85,,
"CUT FLOWERS & CUT CULTIVATED GREENS, IN THE OPEN",53061,2007,t,,85,,
"CUT FLOWERS & CUT CULTIVATED GREENS, IN THE OPEN",53061,2007,f,,85,,
FLORICULTURE TOTALS,53061,2007,f,,161,,
"FLORICULTURE TOTALS, IN THE OPEN",53061,2007,t,,161,,
"FLORICULTURE TOTALS, IN THE OPEN",53061,2007,f,,161,,
GARLIC,53061,2007,t,,5,,
GARLIC,53061,2007,f,,5,,
GRASSES,53061,2007,f,,1040,1612064,LB
"GRASSES, FESCUE",53061,2007,f,,333,468650,LB
"GRASSES, FESCUE, SEED",53061,2007,t,,333,468650,LB
GRASSES & LEGUMES TOTALS,53061,2007,f,,1040,,
"GRASSES & LEGUMES TOTALS, SEED",53061,2007,f,,1040,,
"GRASSES & LEGUMES TOTALS, SEED",53061,2007,t,,1040,,
"GRASSES, RYEGRASS",53061,2007,f,,707,1143414,LB
"GRASSES, RYEGRASS, SEED",53061,2007,t,,707,1143414,LB
HAY,53061,2007,t,825,8400,17602,TONS
"HAY, ALFALFA",53061,2007,t,130,632,2432,TONS
HAY & HAYLAGE,53061,2007,t,2308,12485,49270,TONS
HAYLAGE,53061,2007,t,1621,4983,64066,TONS
"HAYLAGE, ALFALFA",53061,2007,t,,211,1077,TONS
"HAYLAGE, (EXCL ALFALFA)",53061,2007,t,1621,4772,62989,TONS
"HAY, SMALL GRAIN",53061,2007,t,,132,200,TONS
"HAY, TAME",53061,2007,f,669,5721,12551,TONS
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",53061,2007,t,669,5721,12551,TONS
"HAY, WILD",53061,2007,t,,1915,2419,TONS
HERBS,53061,2007,f,,2,,
"HERBS, FRESH CUT",53061,2007,t,,2,,
"HERBS, FRESH CUT",53061,2007,f,,2,,
"HERBS, FRESH CUT, FRESH MARKET",53061,2007,f,,2,,
"HERBS, FRESH CUT, FRESH MARKET",53061,2007,t,,2,,
LETTUCE,53061,2007,f,,32,,
LETTUCE,53061,2007,t,,32,,
"LETTUCE, FRESH MARKET",53061,2007,f,,32,,
"LETTUCE, FRESH MARKET",53061,2007,t,,32,,
NON-CITRUS TOTALS,53061,2007,f,,70,,
"NON-CITRUS TOTALS, (EXCL BERRIES)",53061,2007,f,,70,,
"NON-CITRUS TOTALS, (EXCL BERRIES)",53061,2007,t,,70,,
NURSERY TOTALS,53061,2007,f,,883,,
"NURSERY TOTALS, IN THE OPEN",53061,2007,f,,883,,
"NURSERY TOTALS, IN THE OPEN",53061,2007,t,,883,,
ONIONS,53061,2007,f,,9,,
"ONIONS, DRY",53061,2007,t,,9,,
"ONIONS, DRY",53061,2007,f,,9,,
PEARS,53061,2007,t,,17,,
PEARS,53061,2007,f,,17,,
PEAS,53061,2007,f,,3302,,
"PEAS, GREEN",53061,2007,f,,3302,,
"PEAS, GREEN, (EXCL SOUTHERN)",53061,2007,f,,3302,,
"PEAS, GREEN, (EXCL SOUTHERN)",53061,2007,t,,3302,,
"PEAS, GREEN, (EXCL SOUTHERN), FRESH MARKET",53061,2007,f,,6,,
"PEAS, GREEN, (EXCL SOUTHERN), FRESH MARKET",53061,2007,t,,6,,
"PEAS, GREEN, (EXCL SOUTHERN), PROCESSING",53061,2007,f,,3296,,
"PEAS, GREEN, (EXCL SOUTHERN), PROCESSING",53061,2007,t,,3296,,
PLUMS & PRUNES,53061,2007,f,,1,,
PLUMS & PRUNES,53061,2007,t,,1,,
POTATOES,53061,2007,f,,181,,
"POTATOES, FRESH MARKET",53061,2007,f,,181,,
"POTATOES, FRESH MARKET",53061,2007,t,,181,,
PROPAGATIVE MATERIAL,53061,2007,f,,9,,
"PROPAGATIVE MATERIAL, IN THE OPEN",53061,2007,f,,9,,
"PROPAGATIVE MATERIAL, IN THE OPEN",53061,2007,t,,9,,
PUMPKINS,53061,2007,t,,127,,
PUMPKINS,53061,2007,f,,127,,
"PUMPKINS, FRESH MARKET",53061,2007,t,,127,,
"PUMPKINS, FRESH MARKET",53061,2007,f,,127,,
SHORT TERM WOODY CROPS,53061,2007,f,,139,,
SHORT TERM WOODY CROPS,53061,2007,t,,139,,
SQUASH,53061,2007,f,,9,,
SQUASH,53061,2007,t,,10,,
"SQUASH, FRESH MARKET",53061,2007,f,,9,,
"SQUASH, FRESH MARKET",53061,2007,t,,9,,
STRAWBERRIES,53061,2007,f,,37,,
STRAWBERRIES,53061,2007,t,,37,,
SWEET CORN,53061,2007,f,,106,,
SWEET CORN,53061,2007,t,,106,,
TOMATOES,53061,2007,f,,10,,
"TOMATOES, IN THE OPEN",53061,2007,f,,10,,
"TOMATOES, IN THE OPEN",53061,2007,t,,10,,
"TOMATOES, IN THE OPEN, FRESH MARKET",53061,2007,t,,10,,
"TOMATOES, IN THE OPEN, FRESH MARKET",53061,2007,f,,10,,
TREE NUT TOTALS,53061,2007,t,,4,,
TREE NUT TOTALS,53061,2007,f,,4,,
VEGETABLE SEEDS,53061,2007,f,,434,,
"VEGETABLE SEEDS, IN THE OPEN",53061,2007,t,,434,,
"VEGETABLE SEEDS, IN THE OPEN",53061,2007,f,,434,,
"VEGETABLES, OTHER",53061,2007,f,,154,,
"VEGETABLES, OTHER, VEGETABLES",53061,2007,f,,154,,
"VEGETABLES, OTHER, VEGETABLES, OTHER",53061,2007,t,,154,,
"VEGETABLES, OTHER, VEGETABLES, OTHER",53061,2007,f,,154,,
VEGETABLE TOTALS,53061,2007,f,,4140,,
"VEGETABLE TOTALS, IN THE OPEN",53061,2007,t,266,4140,,
"VEGETABLE TOTALS, IN THE OPEN",53061,2007,f,,4140,,
"VEGETABLE TOTALS, IN THE OPEN, FRESH MARKET",53061,2007,f,,737,,
"VEGETABLE TOTALS, IN THE OPEN, FRESH MARKET",53061,2007,t,,737,,
"VEGETABLE TOTALS, IN THE OPEN, PROCESSING",53061,2007,f,,3403,,
"VEGETABLE TOTALS, IN THE OPEN, PROCESSING",53061,2007,t,,3403,,
WHEAT,53061,2007,t,,311,19241,BU
"WHEAT, WINTER",53061,2007,t,,311,19241,BU
APPLES,53063,2007,f,,143,,
APPLES,53063,2007,t,,143,,
BARLEY,53063,2007,t,298,26482,1568845,BU
BEANS,53063,2007,f,,26,,
"BEANS, SNAP",53063,2007,t,,26,,
"BEANS, SNAP",53063,2007,f,,26,,
"BEANS, SNAP, FRESH MARKET",53063,2007,f,,26,,
"BEANS, SNAP, FRESH MARKET",53063,2007,t,,26,,
BEETS,53063,2007,f,,2,,
BEETS,53063,2007,t,,2,,
"BEETS, FRESH MARKET",53063,2007,f,,2,,
"BEETS, FRESH MARKET",53063,2007,t,,2,,
BLACKBERRIES,53063,2007,f,,3,,
"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES",53063,2007,f,,3,,
"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES",53063,2007,t,,3,,
BULBS & CORMS & RHIZOMES & TUBERS,53063,2007,f,,3,,
"BULBS & CORMS & RHIZOMES & TUBERS, DRY",53063,2007,f,,3,,
"BULBS & CORMS & RHIZOMES & TUBERS, DRY, IN THE OPEN",53063,2007,f,,3,,
"BULBS & CORMS & RHIZOMES & TUBERS, DRY, IN THE OPEN",53063,2007,t,,3,,
CABBAGE,53063,2007,f,,1,,
"CABBAGE, HEAD",53063,2007,t,,1,,
"CABBAGE, HEAD",53063,2007,f,,1,,
"CABBAGE, HEAD, FRESH MARKET",53063,2007,t,,1,,
"CABBAGE, HEAD, FRESH MARKET",53063,2007,f,,1,,
CANOLA,53063,2007,t,,709,828020,LB
CARROTS,53063,2007,f,,15,,
CARROTS,53063,2007,t,,14,,
"CARROTS, FRESH MARKET",53063,2007,t,,13,,
"CARROTS, FRESH MARKET",53063,2007,f,,13,,
"CARROTS, PROCESSING",53063,2007,t,,2,,
"CARROTS, PROCESSING",53063,2007,f,,2,,
CHERRIES,53063,2007,f,,39,,
"CHERRIES, SWEET",53063,2007,f,,34,,
"CHERRIES, SWEET",53063,2007,t,,34,,
"CHERRIES, TART",53063,2007,t,,5,,
"CHERRIES, TART",53063,2007,f,,5,,
CORN,53063,2007,f,115,115,,
"CORN, SILAGE",53063,2007,t,115,115,,
"CORN, SILAGE",53063,2007,f,115,115,,
CUCUMBERS,53063,2007,f,,8,,
CUCUMBERS,53063,2007,t,,8,,
"CUCUMBERS, FRESH MARKET",53063,2007,f,,8,,
"CUCUMBERS, FRESH MARKET",53063,2007,t,,8,,
CUT CHRISTMAS TREES,53063,2007,t,69,169,,
CUT CHRISTMAS TREES,53063,2007,f,69,169,,
EGGPLANT,53063,2007,f,,1,,
EGGPLANT,53063,2007,t,,1,,
"EGGPLANT, FRESH MARKET",53063,2007,t,,1,,
"EGGPLANT, FRESH MARKET",53063,2007,f,,1,,
FLORICULTURE TOTALS,53063,2007,f,,29,,
"FLORICULTURE TOTALS, IN THE OPEN",53063,2007,t,,29,,
"FLORICULTURE TOTALS, IN THE OPEN",53063,2007,f,,29,,
GARLIC,53063,2007,t,,6,,
GARLIC,53063,2007,f,,6,,
"GARLIC, FRESH MARKET",53063,2007,f,,6,,
"GARLIC, FRESH MARKET",53063,2007,t,,6,,
GRASSES,53063,2007,f,,24041,10818448,LB
"GRASSES, BLUEGRASS",53063,2007,f,,23705,10536502,LB
"GRASSES, BLUEGRASS, KENTUCKY",53063,2007,f,,23705,10536502,LB
"GRASSES, BLUEGRASS, KENTUCKY, SEED",53063,2007,t,,23705,10536502,LB
"GRASSES, FESCUE",53063,2007,f,,336,281946,LB
"GRASSES, FESCUE, SEED",53063,2007,t,,336,281946,LB
GRASSES & LEGUMES TOTALS,53063,2007,f,,24200,,
"GRASSES & LEGUMES TOTALS, SEED",53063,2007,t,,24200,,
"GRASSES & LEGUMES TOTALS, SEED",53063,2007,f,,24200,,
HAY,53063,2007,t,5886,60755,125842,TONS
"HAY, ALFALFA",53063,2007,t,4376,36386,77020,TONS
HAY & HAYLAGE,53063,2007,t,5964,61222,128097,TONS
HAYLAGE,53063,2007,t,262,1466,4563,TONS
"HAYLAGE, ALFALFA",53063,2007,t,,447,2783,TONS
"HAYLAGE, (EXCL ALFALFA)",53063,2007,t,,1019,1780,TONS
"HAY, SMALL GRAIN",53063,2007,t,203,5405,8263,TONS
"HAY, TAME",53063,2007,f,1221,14620,35005,TONS
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",53063,2007,t,1221,14620,35005,TONS
"HAY, WILD",53063,2007,t,86,4344,5554,TONS
HERBS,53063,2007,f,,1,,
"HERBS, FRESH CUT",53063,2007,t,,1,,
"HERBS, FRESH CUT",53063,2007,f,,1,,
"HERBS, FRESH CUT, FRESH MARKET",53063,2007,t,,1,,
"HERBS, FRESH CUT, FRESH MARKET",53063,2007,f,,1,,
LEGUMES,53063,2007,f,,,19200,LB
"LEGUMES, ALFALFA",53063,2007,f,,,19200,LB
"LEGUMES, ALFALFA, SEED",53063,2007,t,,,19200,LB
LENTILS,53063,2007,t,,34106,,
LENTILS,53063,2007,f,,34106,,
MELONS,53063,2007,f,,1,,
"MELONS, CANTALOUP",53063,2007,f,,1,,
"MELONS, CANTALOUP",53063,2007,t,,1,,
"MELONS, CANTALOUP, FRESH MARKET",53063,2007,f,,1,,
"MELONS, CANTALOUP, FRESH MARKET",53063,2007,t,,1,,
MUSTARD,53063,2007,f,,782,543637,LB
"MUSTARD, SEED",53063,2007,t,,782,543637,LB
"NON-CITRUS, OTHER",53063,2007,f,,1,,
"NON-CITRUS, OTHER, NON-CITRUS",53063,2007,f,,1,,
"NON-CITRUS, OTHER, NON-CITRUS, OTHER",53063,2007,f,,1,,
"NON-CITRUS, OTHER, NON-CITRUS, OTHER, (EXCL BERRIES)",53063,2007,t,,1,,
"NON-CITRUS, OTHER, NON-CITRUS, OTHER, (EXCL BERRIES)",53063,2007,f,,1,,
NON-CITRUS TOTALS,53063,2007,f,,220,,
"NON-CITRUS TOTALS, (EXCL BERRIES)",53063,2007,t,,220,,
"NON-CITRUS TOTALS, (EXCL BERRIES)",53063,2007,f,,220,,
NURSERY TOTALS,53063,2007,f,,224,,
"NURSERY TOTALS, IN THE OPEN",53063,2007,t,,224,,
"NURSERY TOTALS, IN THE OPEN",53063,2007,f,,224,,
OATS,53063,2007,t,,1389,61546,BU
ONIONS,53063,2007,f,,5,,
"ONIONS, DRY",53063,2007,t,,5,,
"ONIONS, DRY",53063,2007,f,,5,,
"ONIONS, DRY, FRESH MARKET",53063,2007,t,,5,,
"ONIONS, DRY, FRESH MARKET",53063,2007,f,,5,,
PEACHES,53063,2007,f,,28,,
PEACHES,53063,2007,t,,28,,
PEARS,53063,2007,t,,2,,
PEARS,53063,2007,f,,2,,
PEAS,53063,2007,f,,1,,
PEAS,53063,2007,f,,5961,94968,CWT
"PEAS, DRY EDIBLE",53063,2007,t,,5961,94968,CWT
"PEAS, GREEN",53063,2007,f,,1,,
"PEAS, GREEN, (EXCL SOUTHERN)",53063,2007,f,,1,,
"PEAS, GREEN, (EXCL SOUTHERN)",53063,2007,t,,1,,
"PEAS, GREEN, (EXCL SOUTHERN), FRESH MARKET",53063,2007,f,,1,,
"PEAS, GREEN, (EXCL SOUTHERN), FRESH MARKET",53063,2007,t,,1,,
PEPPERS,53063,2007,f,,5,,
"PEPPERS, BELL",53063,2007,f,,5,,
"PEPPERS, BELL",53063,2007,t,,5,,
"PEPPERS, BELL, FRESH MARKET",53063,2007,t,,5,,
"PEPPERS, BELL, FRESH MARKET",53063,2007,f,,5,,
PLUMS & PRUNES,53063,2007,f,,2,,
PLUMS & PRUNES,53063,2007,t,,2,,
POTATOES,53063,2007,f,,26,,
"POTATOES, FRESH MARKET",53063,2007,t,,26,,
"POTATOES, FRESH MARKET",53063,2007,f,,26,,
RASPBERRIES,53063,2007,t,,19,,
RASPBERRIES,53063,2007,f,,19,,
SHORT TERM WOODY CROPS,53063,2007,t,,196,,
SHORT TERM WOODY CROPS,53063,2007,f,,196,,
SQUASH,53063,2007,t,,73,,
SQUASH,53063,2007,f,,73,,
"SQUASH, FRESH MARKET",53063,2007,f,,73,,
"SQUASH, FRESH MARKET",53063,2007,t,,73,,
STRAWBERRIES,53063,2007,f,,34,,
STRAWBERRIES,53063,2007,t,,34,,
SWEET CORN,53063,2007,f,,228,,
SWEET CORN,53063,2007,t,,228,,
TOMATOES,53063,2007,f,,8,,
"TOMATOES, IN THE OPEN",53063,2007,t,,9,,
"TOMATOES, IN THE OPEN",53063,2007,f,,8,,
"TOMATOES, IN THE OPEN, FRESH MARKET",53063,2007,t,,8,,
"TOMATOES, IN THE OPEN, FRESH MARKET",53063,2007,f,,8,,
TRITICALE,53063,2007,t,,2027,99120,BU
"VEGETABLES, OTHER",53063,2007,f,,12,,
"VEGETABLES, OTHER, VEGETABLES",53063,2007,f,,12,,
"VEGETABLES, OTHER, VEGETABLES, OTHER",53063,2007,t,,12,,
"VEGETABLES, OTHER, VEGETABLES, OTHER",53063,2007,f,,12,,
"VEGETABLES, OTHER, VEGETABLES, OTHER, FRESH MARKET",53063,2007,t,,12,,
"VEGETABLES, OTHER, VEGETABLES, OTHER, FRESH MARKET",53063,2007,f,,12,,
VEGETABLE TOTALS,53063,2007,f,1440,1528,,
"VEGETABLE TOTALS, IN THE OPEN",53063,2007,f,1440,1528,,
"VEGETABLE TOTALS, IN THE OPEN",53063,2007,t,1440,1528,,
WHEAT,53063,2007,t,1576,140746,8115549,BU
"WHEAT, SPRING",53063,2007,f,386,42108,1920997,BU
"WHEAT, SPRING, (EXCL DURUM)",53063,2007,t,386,42108,1920997,BU
"WHEAT, WINTER",53063,2007,t,1190,98638,6194552,BU
APPLES,53065,2007,f,,30,,
APPLES,53065,2007,t,,30,,
BARLEY,53065,2007,t,179,3176,129263,BU
BEANS,53065,2007,f,,10,,
"BEANS, SNAP",53065,2007,t,,10,,
"BEANS, SNAP",53065,2007,f,,10,,
"BEANS, SNAP, FRESH MARKET",53065,2007,f,,10,,
"BEANS, SNAP, FRESH MARKET",53065,2007,t,,10,,
CARROTS,53065,2007,t,,1,,
CARROTS,53065,2007,f,,1,,
"CARROTS, FRESH MARKET",53065,2007,t,,1,,
"CARROTS, FRESH MARKET",53065,2007,f,,1,,
CHERRIES,53065,2007,f,,14,,
"CHERRIES, SWEET",53065,2007,t,,12,,
"CHERRIES, SWEET",53065,2007,f,,12,,
"CHERRIES, TART",53065,2007,f,,2,,
"CHERRIES, TART",53065,2007,t,,2,,
CUT CHRISTMAS TREES,53065,2007,f,,3,,
CUT CHRISTMAS TREES,53065,2007,t,,3,,
FLORICULTURE TOTALS,53065,2007,f,,2,,
"FLORICULTURE TOTALS, IN THE OPEN",53065,2007,f,,2,,
"FLORICULTURE TOTALS, IN THE OPEN",53065,2007,t,,2,,
GARLIC,53065,2007,t,,5,,
GARLIC,53065,2007,f,,5,,
"GARLIC, FRESH MARKET",53065,2007,t,,5,,
"GARLIC, FRESH MARKET",53065,2007,f,,5,,
GRAPES,53065,2007,t,,15,,
GRAPES,53065,2007,f,,15,,
GRASSES & LEGUMES TOTALS,53065,2007,f,,253,,
"GRASSES & LEGUMES TOTALS, SEED",53065,2007,f,,253,,
"GRASSES & LEGUMES TOTALS, SEED",53065,2007,t,,253,,
HAY,53065,2007,t,7583,44320,76040,TONS
"HAY, ALFALFA",53065,2007,t,5958,32477,58452,TONS
HAY & HAYLAGE,53065,2007,t,8039,45077,79708,TONS
HAYLAGE,53065,2007,t,456,1247,7420,TONS
